start,end,label
30,100,Musonius Rufus
45,120,Plutarch
55,135,Epictetus
70,156,Polycarp
121,180,Marcus Aurelius
150,215,Clement of Alexandria
160,210,Sextus Empiricus
205,270,Plotinus
232,304,Porphyry
270,351,Nicolaus of Myra
295,373,Athanasius
315,367,Hilarius of Poitiers
317,388,Themistius
329,390,Gregorius of Nazianz
330,379,Basilius
335,394,Gregorius of Nyssa
339,397,Ambrosius
340,420,Hieronymus
354,407,Chrisostomos
381,444,Cyrill
411,485,Proclus
462,540,Damascius
472,524,Boethius
1033,1109,Anselm of Canterbury
1091,1153,Bernhard of Clairvaux
1135,1204,Maimonides
1221,1274,Bonaventura
1225,1274,Thomas of Aquin
1235,1315,Rymundus Lullus
1193,1280,Albertus Magnus
1265,1321,Dante
1266,1308,Duns Scotus
1287,1347,Occam
1396,1484,Trapezuntius
1401,1464,Cusanus
1443,1485,Agricola
1452,1498,Savonarola
1467,1536,Erasmus
1469,1527,Machiavelli
1478,1535,Morus
1473,1543,Kopernikus
1483,1546,Luther
1484,1531,Zwingli
1486,1535,Agrippa
1493,1541,Paracelsus
1497,1560,Melanchton
1509,1564,Calvin
1540,1609,Scaliger
1546,1601,Brahe
1560,1626,Bacon
1564,1642,Galilei
1588,1679,Hobbes
1596,1659,Descartes
1623,1662,Pascal
1632,1677,Spinoza
1646,1716,Leibniz
1685,1735,Berkeley
1711,1776,Hume
1724,1804,Kant
1743,1819,Jacobi
1748,1832,Bentham
1770,1831,Hegel
1775,1854,Schelling
1762,1814,Fichte
1788,1860,Schopenhauer
1818,1883,Marx
1833,1921,Dühring
1833,1911,Dilthey
1844,1900,Nietzsche
1848,1925,Frege
1859,1952,Dewey
1859,1941,Bergson
1872,1970,Russell
1873,1958,Moore
1874,1928,Scheler
1882,1936,Schlick
1885,1977,Bloch
1889,1951,Wittgenstein
1890,1963,Ajdukiewicz
1900,1976,Ryle
1902,1995,Bochenski
1902,1994,Popper
1903,1993,Jonas
1903,1969,Adorno
1908,2000,Quine
1910,1989,Ayer
1911,1960,Austin
1921,2002,Rawls
1923,1991,Stegmüller
1781,,Critique of Pure Reason
1818,,The World as Will and Representation
1739,,A Treatise of Human Nature
1748,,An Enquiry Concerning Human Understanding
1807,,The Phenomenology of Spirit
1532,,The Prince
1651,,Leviathan
1710,,A Treatise Concerning the Principles of Human Knowledge
1637,,Discourse on the Method
1883,,Thus Spoke Zarathustra